PROVINSI,JENIS_TANAMAN,LUAS_PANEN(Hektar),LUAS_SAWAH(Hektar),SUHU(C),CURAH_HUJAN(mm),PRODUKSI(ton),TAHUN
SULAWESI BARAT,2,-,-,"29,46","1 870,60",-,2004
MALUKU,2,977.00,8542.00,"29,13","2 358,60",1173.00,2004
MALUKU UTARA,2,572.00,11867.00,"28,05","2 024,50",676.00,2004
PAPUA BARAT,2,-,6290.00,"28,91","2 126,20",-,2004
PAPUA,2,3936.00,36021.00,"28,44","2 431,00",4160.00,2004
ACEH,3,12363.00,346305.00,"28,69","1 507,20",14687.00,2004
SUMATERA UTARA,3,26029.00,502839.00,"29,24","3 140,20",28708.00,2004
SUMATERA BARAT,3,8275.00,231939.00,"29,06","4 927,20",9949.00,2004
RIAU,3,3554.00,125966.00,"28,98","2 949,20",3349.00,2004
JAMBI,3,1996.00,122126.00,"28,21","2 533,30",2220.00,2004
SUMATERA SELATAN,3,5461.00,474429.00,"28,73","2 674,00",7187.00,2004
BENGKULU,3,5852.00,85641.00,"29,71","3 030,40",5814.00,2004
LAMPUNG,3,10464.00,316017.00,"29,66","1 682,20",11423.00,2004
KEP. BANGKA BELITUNG,3,716.00,3773.00,"27,94","2 900,00",702.00,2004
KEP. RIAU,3,-,-,"28,09","3 972,70",-,2004
DKI JAKARTA,3,24.00,2563.00,"30,22","1 644,30",24.00,2004
JAWA BARAT,3,72117.00,932337.00,"28,49","2 200,60",97724.00,2004
JAWA TENGAH,3,155634.00,996197.00,"29,48","2 473,60",184316.00,2004
DI YOGYAKARTA,3,68010.00,56982.00,"29,42","1 834,30",61048.00,2004
JAWA TIMUR,3,180082.00,1108361.00,"30,28","2 002,20",212325.00,2004
BANTEN,3,10487.00,196589.00,"29,63","1 353,70",13752.00,2004
BALI,3,15179.00,81557.00,"29,4","2 089,60",19256.00,2004
NUSA TENGGARA BARAT,3,41020.00,222968.00,"30,09","1 876,20",49226.00,2004
NUSA TENGGARA TIMUR,3,17225.00,109070.00,"28,93","1 886,50",17680.00,2004
KALIMANTAN BARAT,3,1755.00,283021.00,"28,58","3 160,60",1992.00,2004
KALIMANTAN TENGAH,3,2197.00,167776.00,"27,87","3 026,20",2409.00,2004
KALIMANTAN SELATAN,3,14267.00,423884.00,"27,95","2 773,20",16440.00,2004
KALIMANTAN TIMUR,3,2341.00,89769.00,"29,43","2 293,40",2507.00,2004
KALIMANTAN UTARA,3,-,-,,,-,2004
SULAWESI UTARA,3,5132.00,59393.00,"28,56","3 470,50",5554.00,2004
SULAWESI TENGAH,3,6038.00,120049.00,"28,03","2 218,70",7307.00,2004
SULAWESI SELATAN,3,36726.00,626634.00,"28,05","3 053,90",41191.00,2004
SULAWESI TENGGARA,3,8686.00,69432.00,"28,36","2 125,10",7026.00,2004
GORONTALO,3,4333.00,25955.00,"29,29","1 816,30",5536.00,2004
SULAWESI BARAT,3,-,-,"29,46","1 870,60",-,2004
MALUKU,3,1665.00,8542.00,"29,13","2 358,60",1876.00,2004
MALUKU UTARA,3,2786.00,11867.00,"28,05","2 024,50",3263.00,2004
PAPUA BARAT,3,-,6290.00,"28,91","2 126,20",-,2004
PAPUA,3,3020.00,36021.00,"28,44","2 431,00",3004.00,2004
ACEH,4,5008.00,346305.00,"28,69","1 507,20",6132.00,2004
SUMATERA UTARA,4,10562.00,502839.00,"29,24","3 140,20",10800.00,2004
SUMATERA BARAT,4,1174.00,231939.00,"29,06","4 927,20",1338.00,2004
RIAU,4,1158.00,125966.00,"28,98","2 949,20",1170.00,2004
JAMBI,4,578.00,122126.00,"28,21","2 533,30",614.00,2004
SUMATERA SELATAN,4,2807.00,474429.00,"28,73","2 674,00",2643.00,2004
BENGKULU,4,1789.00,85641.00,"29,71","3 030,40",1696.00,2004
LAMPUNG,4,5643.00,316017.00,"29,66","1 682,20",4987.00,2004
KEP. BANGKA BELITUNG,4,-,3773.00,"27,94","2 900,00",-,2004
KEP. RIAU,4,-,-,"28,09","3 972,70",-,2004
DKI JAKARTA,4,-,2563.00,"30,22","1 644,30",-,2004
JAWA BARAT,4,13904.00,932337.00,"28,49","2 200,60",13950.00,2004
JAWA TENGAH,4,78583.00,996197.00,"29,48","2 473,60",2602.00,2004
DI YOGYAKARTA,4,942.00,56982.00,"29,42","1 834,30",617.00,2004
JAWA TIMUR,4,77325.00,1108361.00,"30,28","2 002,20",83245.00,2004
BANTEN,4,2840.00,196589.00,"29,63","1 353,70",81496.00,2004
BALI,4,1352.00,81557.00,"29,4","2 089,60",1299.00,2004
NUSA TENGGARA BARAT,4,49842.00,222968.00,"30,09","1 876,20",39730.00,2004
NUSA TENGGARA TIMUR,4,24012.00,109070.00,"28,93","1 886,50",19896.00,2004
KALIMANTAN BARAT,4,1923.00,283021.00,"28,58","3 160,60",1336.00,2004
KALIMANTAN TENGAH,4,762.00,167776.00,"27,87","3 026,20",601.00,2004
KALIMANTAN SELATAN,4,1322.00,423884.00,"27,95","2 773,20",1415.00,2004
KALIMANTAN TIMUR,4,1055.00,89769.00,"29,43","2 293,40",1058.00,2004
KALIMANTAN UTARA,4,-,-,,,-,2004
SULAWESI UTARA,4,1225.00,59393.00,"28,56","3 470,50",1268.00,2004
SULAWESI TENGAH,4,1748.00,120049.00,"28,03","2 218,70",27063.00,2004
SULAWESI SELATAN,4,21634.00,626634.00,"28,05","3 053,90",27063.00,2004
SULAWESI TENGGARA,4,2381.00,69432.00,"28,36","2 125,10",1675.00,2004
GORONTALO,4,736.00,25955.00,"29,29","1 816,30",865.00,2004
SULAWESI BARAT,4,-,-,"29,46","1 870,60",-,2004
MALUKU,4,369.00,8542.00,"29,13","2 358,60",373.00,2004
MALUKU UTARA,4,318.00,11867.00,"28,05","2 024,50",345.00,2004
PAPUA BARAT,4,-,6290.00,"28,91","2 126,20",-,2004
PAPUA,4,871.00,36021.00,"28,44","2 431,00",888.00,2004
ACEH,5,5180.00,346305.00,"28,69","1 507,20",63867.00,2004
SUMATERA UTARA,5,37313.00,502839.00,"29,24","3 140,20",464960.00,2004
SUMATERA BARAT,5,8312.00,231939.00,"29,06","4 927,20",117437.00,2004
RIAU,5,4445.00,125966.00,"28,98","2 949,20",47922.00,2004
JAMBI,5,3546.00,122126.00,"28,21","2 533,30",44446.00,2004
SUMATERA SELATAN,5,19979.00,474429.00,"28,73","2 674,00",248844.00,2004
BENGKULU,5,5118.00,85641.00,"29,71","3 030,40",59659.00,2004
LAMPUNG,5,266586.00,316017.00,"29,66","1 682,20",4673091.00,2004
KEP. BANGKA BELITUNG,5,1924.00,3773.00,"27,94","2 900,00",22138.00,2004
KEP. RIAU,5,-,-,"28,09","3 972,70",-,2004
DKI JAKARTA,5,69.00,2563.00,"30,22","1 644,30",815.00,2004
JAWA BARAT,5,119097.00,932337.00,"28,49","2 200,60",2074022.00,2004
JAWA TENGAH,5,226192.00,996197.00,"29,48","2 473,60",3663236.00,2004
DI YOGYAKARTA,5,59521.00,56982.00,"29,42","1 834,30",817398.00,2004
JAWA TIMUR,5,248528.00,1108361.00,"30,28","2 002,20",3963478.00,2004
BANTEN,5,11950.00,196589.00,"29,63","1 353,70",163969.00,2004
BALI,5,12100.00,81557.00,"29,4","2 089,60",142221.00,2004
NUSA TENGGARA BARAT,5,7674.00,222968.00,"30,09","1 876,20",88030.00,2004
NUSA TENGGARA TIMUR,5,99498.00,109070.00,"28,93","1 886,50",1041279.00,2004
KALIMANTAN BARAT,5,14059.00,283021.00,"28,58","3 160,60",207832.00,2004
KALIMANTAN TENGAH,5,9698.00,167776.00,"27,87","3 026,20",112319.00,2004
KALIMANTAN SELATAN,5,5156.00,423884.00,"27,95","2 773,20",67292.00,2004
KALIMANTAN TIMUR,5,6849.00,89769.00,"29,43","2 293,40",89389.00,2004
KALIMANTAN UTARA,5,-,-,,,-,2004
SULAWESI UTARA,5,5617.00,59393.00,"28,56","3 470,50",57314.00,2004
SULAWESI TENGAH,5,3534.00,120049.00,"28,03","2 218,70",45106.00,2004
SULAWESI SELATAN,5,33474.00,626634.00,"28,05","3 053,90",586350.00,2004
SULAWESI TENGGARA,5,15569.00,69432.00,"28,36","2 125,10",263972.00,2004
GORONTALO,5,1260.00,25955.00,"29,29","1 816,30",14507.00,2004
SULAWESI BARAT,5,-,-,"29,46","1 870,60",-,2004
MALUKU,5,7271.00,8542.00,"29,13","2 358,60",91351.00,2004
MALUKU UTARA,5,11937.00,11867.00,"28,05","2 024,50",144313.00,2004
PAPUA BARAT,5,-,6290.00,"28,91","2 126,20",-,2004
PAPUA,5,4349.00,36021.00,"28,44","2 431,00",48150.00,2004
ACEH,6,2338.00,346305.00,"28,69","1 507,20",22938.00,2004
SUMATERA UTARA,6,12227.00,502839.00,"29,24","3 140,20",117295.00,2004
SUMATERA BARAT,6,4428.00,231939.00,"29,06","4 927,20",55484.00,2004
RIAU,6,1460.00,125966.00,"28,98","2 949,20",11390.00,2004
JAMBI,6,3253.00,122126.00,"28,21","2 533,30",27325.00,2004
SUMATERA SELATAN,6,3522.00,474429.00,"28,73","2 674,00",22573.00,2004
BENGKULU,6,3711.00,85641.00,"29,71","3 030,40",35368.00,2004
LAMPUNG,6,4745.00,316017.00,"29,66","1 682,20",45769.00,2004
KEP. BANGKA BELITUNG,6,648.00,3773.00,"27,94","2 900,00",5179.00,2004
KEP. RIAU,6,-,-,"28,09","3 972,70",-,2004
DKI JAKARTA,6,-,2563.00,"30,22","1 644,30",-,2004
JAWA BARAT,6,31414.00,932337.00,"28,49","2 200,60",389640.00,2004
JAWA TENGAH,6,11464.00,996197.00,"29,48","2 473,60",144076.00,2004
DI YOGYAKARTA,6,602.00,56982.00,"29,42","1 834,30",6439.00,2004
JAWA TIMUR,6,14914.00,1108361.00,"30,28","2 002,20",165039.00,2004
BANTEN,6,3386.00,196589.00,"29,63","1 353,70",38618.00,2004
BALI,6,6219.00,81557.00,"29,4","2 089,60",72534.00,2004
NUSA TENGGARA BARAT,6,1852.00,222968.00,"30,09","1 876,20",20886.00,2004
NUSA TENGGARA TIMUR,6,16257.00,109070.00,"28,93","1 886,50",126406.00,2004
KALIMANTAN BARAT,6,1725.00,283021.00,"28,58","3 160,60",13556.00,2004
KALIMANTAN TENGAH,6,2378.00,167776.00,"27,87","3 026,20",16594.00,2004
KALIMANTAN SELATAN,6,2189.00,423884.00,"27,95","2 773,20",21487.00,2004
KALIMANTAN TIMUR,6,2925.00,89769.00,"29,43","2 293,40",25962.00,2004
KALIMANTAN UTARA,6,-,-,,,-,2004
SULAWESI UTARA,6,3740.00,59393.00,"28,56","3 470,50",32392.00,2004
SULAWESI TENGAH,6,2882.00,120049.00,"28,03","2 218,70",27903.00,2004
SULAWESI SELATAN,6,6906.00,626634.00,"28,05","3 053,90",76496.00,2004
SULAWESI TENGGARA,6,3235.00,69432.00,"28,36","2 125,10",25695.00,2004
GORONTALO,6,574.00,25955.00,"29,29","1 816,30",5384.00,2004
SULAWESI BARAT,6,-,-,"29,46","1 870,60",-,2004
MALUKU,6,1785.00,8542.00,"29,13","2 358,60",15298.00,2004
MALUKU UTARA,6,4062.00,11867.00,"28,05","2 024,50",35533.00,2004
PAPUA BARAT,6,-,6290.00,"28,91","2 126,20",-,2004
PAPUA,6,29705.00,36021.00,"28,44","2 431,00",298543.00,2004
ACEH,0,337893.00,356649.00,"26,8","710,5",1411650.00,2005
SUMATERA UTARA,0,822073.00,462767.00,27,"776,7",3447394.00,2005
SUMATERA BARAT,0,426950.00,228176.00,"25,9","1 533,60",1907390.00,2005
RIAU,0,134418.00,118955.00,,,424095.00,2005
JAMBI,0,154941.00,117482.00,"26,8","1 015,70",579635.00,2005
SUMATERA SELATAN,0,626849.00,484207.00,"27,1","1 356,90",2320110.00,2005
BENGKULU,0,116818.00,84164.00,"25,7","3 375,20",441276.00,2005
LAMPUNG,0,496538.00,313621.00,,,2124144.00,2005
KEP. BANGKA BELITUNG,0,6691.00,4111.00,"27,3","2 381,10",19027.00,2005
KEP. RIAU,0,107.00,76.00,"26,8","751,2",312.00,2005
DKI JAKARTA,0,2668.00,1866.00,"28,8","433,5",13335.00,2005
JAWA BARAT,0,1894796.00,925900.00,"23,4","1 796,30",9787217.00,2005
JAWA TENGAH,0,1611107.00,964102.00,"27,9","1 132,10",8424096.00,2005
DI YOGYAKARTA,0,130973.00,57188.00,,,670703.00,2005
JAWA TIMUR,0,1693651.00,1100574.00,"29,2","2 260,80",9007265.00,2005
BANTEN,0,374755.00,194504.00,27,192,1861776.00,2005
BALI,0,142356.00,80211.00,27,"1 415,10",786961.00,2005
NUSA TENGGARA BARAT,0,300394.00,225708.00,"27,8","104,7",1367869.00,2005
NUSA TENGGARA TIMUR,0,162539.00,100194.00,"27,2","476,3",461007.00,2005
KALIMANTAN BARAT,0,352305.00,292220.00,"26,5","2 787,70",1023684.00,2005
KALIMANTAN TENGAH,0,203595.00,159516.00,27,"1 291,90",492250.00,2005
KALIMANTAN SELATAN,0,459541.00,435940.00,,,1598835.00,2005
KALIMANTAN TIMUR,0,140996.00,88846.00,,,499558.00,2005
KALIMANTAN UTARA,0,-,-,,,-,2005
SULAWESI UTARA,0,94944.00,57969.00,"26,7","1 014,00",432624.00,2005
SULAWESI TENGAH,0,175489.00,113715.00,,,716906.00,2005
SULAWESI SELATAN,0,730611.00,558935.00,,,3390397.00,2005
SULAWESI TENGGARA,0,91585.00,73646.00,"27,3",239,339847.00,2005
GORONTALO,0,39110.00,25561.00,27,255,167152.00,2005
SULAWESI BARAT,0,59767.00,60531.00,,,253886.00,2005
MALUKU,0,11341.00,8542.00,"26,8","558,9",37239.00,2005
MALUKU UTARA,0,16953.00,11867.00,"26,9","1 228,00",57945.00,2005
PAPUA BARAT,0,7823.00,7051.00,,,24702.00,2005
PAPUA,0,18483.00,28970.00,28,"3 304,30",60810.00,2005
ACEH,1,29517.00,356649.00,"26,8","710,5",94426.00,2005
SUMATERA UTARA,1,218569.00,462767.00,27,"776,7",735456.00,2005
SUMATERA BARAT,1,39762.00,228176.00,"25,9","1 533,60",157147.00,2005
RIAU,1,16524.00,118955.00,,,36421.00,2005
JAMBI,1,8874.00,117482.00,"26,8","1 015,70",29679.00,2005
SUMATERA SELATAN,1,26884.00,484207.00,"27,1","1 356,90",75566.00,2005
BENGKULU,1,31998.00,84164.00,"25,7","3 375,20",84089.00,2005
LAMPUNG,1,411629.00,313621.00,,,1439000.00,2005
KEP. BANGKA BELITUNG,1,945.00,4111.00,"27,3","2 381,10",2762.00,2005
KEP. RIAU,1,290.00,76.00,"26,8","751,2",584.00,2005
DKI JAKARTA,1,37.00,1866.00,"28,8","433,5",67.00,2005
JAWA BARAT,1,117413.00,925900.00,"23,4","1 796,30",587186.00,2005
JAWA TENGAH,1,596303.00,964102.00,"27,9","1 132,10",2191258.00,2005
DI YOGYAKARTA,1,72714.00,57188.00,,,248960.00,2005
JAWA TIMUR,1,1206177.00,1100574.00,"29,2","2 260,80",4398502.00,2005
BANTEN,1,10324.00,194504.00,27,192,29751.00,2005
BALI,1,30810.00,80211.00,27,"1 415,10",81884.00,2005
NUSA TENGGARA BARAT,1,39380.00,225708.00,"27,8","104,7",96458.00,2005
NUSA TENGGARA TIMUR,1,239588.00,100194.00,"27,2","476,3",552440.00,2005
KALIMANTAN BARAT,1,37743.00,292220.00,"26,5","2 787,70",127458.00,2005
KALIMANTAN TENGAH,1,1447.00,159516.00,27,"1 291,90",2400.00,2005
KALIMANTAN SELATAN,1,15604.00,435940.00,,,48103.00,2005
KALIMANTAN TIMUR,1,4722.00,88846.00,,,11180.00,2005
KALIMANTAN UTARA,1,-,-,,,-,2005
SULAWESI UTARA,1,71644.00,57969.00,"26,7","1 014,00",195305.00,2005
SULAWESI TENGAH,1,26769.00,113715.00,,,67618.00,2005
SULAWESI SELATAN,1,206569.00,558935.00,,,705995.00,2005
SULAWESI TENGGARA,1,32665.00,73646.00,"27,3",239,73153.00,2005
GORONTALO,1,107752.00,25561.00,27,255,400046.00,2005
SULAWESI BARAT,1,5231.00,60531.00,,,17343.00,2005
MALUKU,1,6089.00,8542.00,"26,8","558,9",14262.00,2005
MALUKU UTARA,1,6090.00,11867.00,"26,9","1 228,00",9914.00,2005
PAPUA BARAT,1,2080.00,7051.00,,,3317.00,2005
PAPUA,1,3844.00,28970.00,28,"3 304,30",6164.00,2005
ACEH,2,24189.00,356649.00,"26,8","710,5",31067.00,2005
SUMATERA UTARA,2,13787.00,462767.00,27,"776,7",15793.00,2005
SUMATERA BARAT,2,1505.00,228176.00,"25,9","1 533,60",2000.00,2005
RIAU,2,2829.00,118955.00,,,2923.00,2005
JAMBI,2,2191.00,117482.00,"26,8","1 015,70",2863.00,2005
SUMATERA SELATAN,2,3796.00,484207.00,"27,1","1 356,90",5160.00,2005
BENGKULU,2,2725.00,84164.00,"25,7","3 375,20",2522.00,2005
LAMPUNG,2,4110.00,313621.00,,,4699.00,2005
KEP. BANGKA BELITUNG,2,-,4111.00,"27,3","2 381,10",-,2005
KEP. RIAU,2,-,76.00,"26,8","751,2",-,2005
DKI JAKARTA,2,-,1866.00,"28,8","433,5",-,2005
JAWA BARAT,2,17934.00,925900.00,"23,4","1 796,30",23845.00,2005
JAWA TENGAH,2,115368.00,964102.00,"27,9","1 132,10",167107.00,2005
DI YOGYAKARTA,2,33297.00,57188.00,,,34670.00,2005
JAWA TIMUR,2,255443.00,1100574.00,"29,2","2 260,80",335106.00,2005
BANTEN,2,1832.00,194504.00,27,192,2497.00,2005
BALI,2,8002.00,80211.00,27,"1 415,10",11225.00,2005
NUSA TENGGARA BARAT,2,89230.00,225708.00,"27,8","104,7",106682.00,2005
NUSA TENGGARA TIMUR,2,2093.00,100194.00,"27,2","476,3",2188.00,2005
KALIMANTAN BARAT,2,1194.00,292220.00,"26,5","2 787,70",1349.00,2005
KALIMANTAN TENGAH,2,757.00,159516.00,27,"1 291,90",792.00,2005
KALIMANTAN SELATAN,2,2118.00,435940.00,,,2552.00,2005
KALIMANTAN TIMUR,2,2034.00,88846.00,,,2629.00,2005
KALIMANTAN UTARA,2,-,-,,,-,2005
SULAWESI UTARA,2,3179.00,57969.00,"26,7","1 014,00",4112.00,2005
SULAWESI TENGAH,2,2099.00,113715.00,,,2241.00,2005
SULAWESI SELATAN,2,16347.00,558935.00,,,27187.00,2005
SULAWESI TENGGARA,2,3580.00,73646.00,"27,3",239,3069.00,2005
GORONTALO,2,2907.00,25561.00,27,255,4039.00,2005
SULAWESI BARAT,2,447.00,60531.00,,,641.00,2005
MALUKU,2,1194.00,8542.00,"26,8","558,9",1423.00,2005
MALUKU UTARA,2,990.00,11867.00,"26,9","1 228,00",1182.00,2005
PAPUA BARAT,2,2137.00,7051.00,,,2279.00,2005
PAPUA,2,4227.00,28970.00,28,"3 304,30",4511.00,2005
ACEH,3,12984.00,356649.00,"26,8","710,5",15597.00,2005
SUMATERA UTARA,3,19195.00,462767.00,27,"776,7",21042.00,2005
SUMATERA BARAT,3,8433.00,228176.00,"25,9","1 533,60",10501.00,2005
RIAU,3,3749.00,118955.00,,,3526.00,2005
JAMBI,3,2000.00,117482.00,"26,8","1 015,70",2315.00,2005
SUMATERA SELATAN,3,7328.00,484207.00,"27,1","1 356,90",9756.00,2005
BENGKULU,3,6844.00,84164.00,"25,7","3 375,20",6800.00,2005
LAMPUNG,3,10857.00,313621.00,,,11634.00,2005
KEP. BANGKA BELITUNG,3,429.00,4111.00,"27,3","2 381,10",395.00,2005
KEP. RIAU,3,117.00,76.00,"26,8","751,2",105.00,2005
DKI JAKARTA,3,18.00,1866.00,"28,8","433,5",18.00,2005
JAWA BARAT,3,71523.00,925900.00,"23,4","1 796,30",100775.00,2005
JAWA TENGAH,3,155146.00,964102.00,"27,9","1 132,10",185797.00,2005
DI YOGYAKARTA,3,70362.00,57188.00,,,60324.00,2005
JAWA TIMUR,3,180107.00,1100574.00,"29,2","2 260,80",208749.00,2005
BANTEN,3,13284.00,194504.00,27,192,17853.00,2005
BALI,3,15183.00,80211.00,27,"1 415,10",19742.00,2005
NUSA TENGGARA BARAT,3,35214.00,225708.00,"27,8","104,7",43397.00,2005
NUSA TENGGARA TIMUR,3,14374.00,100194.00,"27,2","476,3",14519.00,2005
KALIMANTAN BARAT,3,2492.00,292220.00,"26,5","2 787,70",2746.00,2005
KALIMANTAN TENGAH,3,1382.00,159516.00,27,"1 291,90",1506.00,2005
KALIMANTAN SELATAN,3,14598.00,435940.00,,,16735.00,2005
KALIMANTAN TIMUR,3,2098.00,88846.00,,,2268.00,2005
KALIMANTAN UTARA,3,-,-,,,-,2005
SULAWESI UTARA,3,5668.00,57969.00,"26,7","1 014,00",6267.00,2005
SULAWESI TENGAH,3,6347.00,113715.00,,,9201.00,2005
SULAWESI SELATAN,3,36043.00,558935.00,,,39092.00,2005
SULAWESI TENGGARA,3,8580.00,73646.00,"27,3",239,6995.00,2005
GORONTALO,3,4341.00,25561.00,27,255,5378.00,2005
SULAWESI BARAT,3,725.00,60531.00,,,1035.00,2005
MALUKU,3,2158.00,8542.00,"26,8","558,9",2508.00,2005
MALUKU UTARA,3,4271.00,11867.00,"26,9","1 228,00",4976.00,2005
PAPUA BARAT,3,2093.00,7051.00,,,2131.00,2005
PAPUA,3,2583.00,28970.00,28,"3 304,30",2612.00,2005
ACEH,4,4261.00,356649.00,"26,8","710,5",4855.00,2005
SUMATERA UTARA,4,7663.00,462767.00,27,"776,7",8098.00,2005
SUMATERA BARAT,4,1385.00,228176.00,"25,9","1 533,60",1594.00,2005
RIAU,4,1886.00,118955.00,,,1950.00,2005
JAMBI,4,645.00,117482.00,"26,8","1 015,70",670.00,2005
SUMATERA SELATAN,4,3272.00,484207.00,"27,1","1 356,90",3135.00,2005
BENGKULU,4,1796.00,84164.00,"25,7","3 375,20",1711.00,2005
LAMPUNG,4,5653.00,313621.00,,,5000.00,2005
KEP. BANGKA BELITUNG,4,-,4111.00,"27,3","2 381,10",-,2005
KEP. RIAU,4,4.00,76.00,"26,8","751,2",4.00,2005
DKI JAKARTA,4,-,1866.00,"28,8","433,5",-,2005
JAWA BARAT,4,15437.00,925900.00,"23,4","1 796,30",15611.00,2005
JAWA TENGAH,4,81615.00,964102.00,"27,9","1 132,10",85192.00,2005
DI YOGYAKARTA,4,967.00,57188.00,,,651.00,2005
JAWA TIMUR,4,88270.00,1100574.00,"29,2","2 260,80",95527.00,2005
BANTEN,4,2293.00,194504.00,27,192,2086.00,2005
BALI,4,1123.00,80211.00,27,"1 415,10",1093.00,2005
NUSA TENGGARA BARAT,4,44680.00,225708.00,"27,8","104,7",35429.00,2005
NUSA TENGGARA TIMUR,4,20010.00,100194.00,"27,2","476,3",16696.00,2005
KALIMANTAN BARAT,4,1383.00,292220.00,"26,5","2 787,70",966.00,2005
KALIMANTAN TENGAH,4,362.00,159516.00,27,"1 291,90",290.00,2005
KALIMANTAN SELATAN,4,1628.00,435940.00,,,1751.00,2005
KALIMANTAN TIMUR,4,793.00,88846.00,,,834.00,2005
KALIMANTAN UTARA,4,-,-,,,-,2005
SULAWESI UTARA,4,1417.00,57969.00,"26,7","1 014,00",1463.00,2005
SULAWESI TENGAH,4,1821.00,113715.00,,,1381.00,2005
SULAWESI SELATAN,4,23779.00,558935.00,,,28941.00,2005
SULAWESI TENGGARA,4,2160.00,73646.00,"27,3",239,1602.00,2005
GORONTALO,4,595.00,25561.00,27,255,726.00,2005
SULAWESI BARAT,4,538.00,60531.00,,,730.00,2005
MALUKU,4,439.00,8542.00,"26,8","558,9",446.00,2005
MALUKU UTARA,4,346.00,11867.00,"26,9","1 228,00",376.00,2005
PAPUA BARAT,4,855.00,7051.00,,,872.00,2005
PAPUA,4,1261.00,28970.00,28,"3 304,30",1283.00,2005
ACEH,5,4316.00,356649.00,"26,8","710,5",53424.00,2005
SUMATERA UTARA,5,40717.00,462767.00,27,"776,7",509796.00,2005
SUMATERA BARAT,5,7569.00,228176.00,"25,9","1 533,60",114199.00,2005
RIAU,5,3891.00,118955.00,,,41668.00,2005
JAMBI,5,3118.00,117482.00,"26,8","1 015,70",39780.00,2005
SUMATERA SELATAN,5,14432.00,484207.00,"27,1","1 356,90",179952.00,2005
BENGKULU,5,6856.00,84164.00,"25,7","3 375,20",79934.00,2005
LAMPUNG,5,252984.00,313621.00,,,4806254.00,2005
KEP. BANGKA BELITUNG,5,1431.00,4111.00,"27,3","2 381,10",19234.00,2005
KEP. RIAU,5,322.00,76.00,"26,8","751,2",3526.00,2005
DKI JAKARTA,5,68.00,1866.00,"28,8","433,5",791.00,2005
JAWA BARAT,5,117786.00,925900.00,"23,4","1 796,30",2068981.00,2005
JAWA TENGAH,5,210983.00,964102.00,"27,9","1 132,10",3478970.00,2005
DI YOGYAKARTA,5,60695.00,57188.00,,,920909.00,2005
JAWA TIMUR,5,253336.00,1100574.00,"29,2","2 260,80",4023614.00,2005
BANTEN,5,10435.00,194504.00,27,192,144110.00,2005
BALI,5,12293.00,80211.00,27,"1 415,10",155808.00,2005
NUSA TENGGARA BARAT,5,8053.00,225708.00,"27,8","104,7",92991.00,2005
NUSA TENGGARA TIMUR,5,86464.00,100194.00,"27,2","476,3",891783.00,2005
KALIMANTAN BARAT,5,17020.00,292220.00,"26,5","2 787,70",243251.00,2005
KALIMANTAN TENGAH,5,6361.00,159516.00,27,"1 291,90",73866.00,2005
KALIMANTAN SELATAN,5,6038.00,435940.00,,,80377.00,2005
KALIMANTAN TIMUR,5,6114.00,88846.00,,,93885.00,2005
KALIMANTAN UTARA,5,-,-,,,-,2005
SULAWESI UTARA,5,6695.00,57969.00,"26,7","1 014,00",68463.00,2005
SULAWESI TENGAH,5,3597.00,113715.00,,,48256.00,2005
SULAWESI SELATAN,5,27568.00,558935.00,,,464435.00,2005
SULAWESI TENGGARA,5,14820.00,73646.00,"27,3",239,256467.00,2005
GORONTALO,5,1048.00,25561.00,27,255,12211.00,2005
SULAWESI BARAT,5,3753.00,60531.00,,,56717.00,2005
MALUKU,5,7517.00,8542.00,"26,8","558,9",94995.00,2005
MALUKU UTARA,5,11785.00,11867.00,"26,9","1 228,00",142680.00,2005
PAPUA BARAT,5,2336.00,7051.00,,,25897.00,2005
PAPUA,5,3059.00,28970.00,28,"3 304,30",33959.00,2005
ACEH,6,2330.00,356649.00,"26,8","710,5",22985.00,2005
SUMATERA UTARA,6,12014.00,462767.00,27,"776,7",115728.00,2005
SUMATERA BARAT,6,4266.00,228176.00,"25,9","1 533,60",50392.00,2005
RIAU,6,1375.00,118955.00,,,10848.00,2005
JAMBI,6,3325.00,117482.00,"26,8","1 015,70",28370.00,2005
SUMATERA SELATAN,6,3739.00,484207.00,"27,1","1 356,90",24465.00,2005
BENGKULU,6,4818.00,84164.00,"25,7","3 375,20",45921.00,2005
LAMPUNG,6,4617.00,313621.00,,,44602.00,2005
KEP. BANGKA BELITUNG,6,532.00,4111.00,"27,3","2 381,10",4117.00,2005
KEP. RIAU,6,217.00,76.00,"26,8","751,2",1540.00,2005
DKI JAKARTA,6,-,1866.00,"28,8","433,5",-,2005
JAWA BARAT,6,30794.00,925900.00,"23,4","1 796,30",390386.00,2005
JAWA TENGAH,6,11179.00,964102.00,"27,9","1 132,10",144598.00,2005
DI YOGYAKARTA,6,617.00,57188.00,,,6522.00,2005
JAWA TIMUR,6,13835.00,1100574.00,"29,2","2 260,80",150564.00,2005
BANTEN,6,3638.00,194504.00,27,192,41276.00,2005
BALI,6,7105.00,80211.00,27,"1 415,10",88510.00,2005
NUSA TENGGARA BARAT,6,1702.00,225708.00,"27,8","104,7",19430.00,2005
NUSA TENGGARA TIMUR,6,12930.00,100194.00,"27,2","476,3",99748.00,2005
KALIMANTAN BARAT,6,1569.00,292220.00,"26,5","2 787,70",12364.00,2005
