PROVINSI,JENIS_TANAMAN,LUAS_PANEN(Hektar),LUAS_SAWAH(Hektar),SUHU(C),CURAH_HUJAN(mm),PRODUKSI(ton),TAHUN
KALIMANTAN BARAT,5,16526.00,253316.00,"28,56","3 160,60",233340.00,2003
KALIMANTAN TENGAH,5,10043.00,156645.00,29,"3 026,20",115017.00,2003
KALIMANTAN SELATAN,5,5438.00,420086.00,"29,02","2 773,20",71758.00,2003
KALIMANTAN TIMUR,5,7174.00,92982.00,"28,85","2 293,40",96067.00,2003
KALIMANTAN UTARA,5,-,-,,,-,2003
SULAWESI UTARA,5,3896.00,64605.00,"28,67","3 470,50",39944.00,2003
SULAWESI TENGAH,5,4028.00,121670.00,"29,62","2 218,70",50052.00,2003
SULAWESI SELATAN,5,40808.00,619084.00,"28,74","3 053,90",590717.00,2003
SULAWESI TENGGARA,5,15174.00,66939.00,"28,39","2 125,10",210742.00,2003
GORONTALO,5,796.00,27598.00,"29,09","1 816,30",9436.00,2003
SULAWESI BARAT,5,-,-,"29,37","1 870,60",-,2003
MALUKU,5,6998.00,8401.00,"28,14","2 358,60",83716.00,2003
MALUKU UTARA,5,8585.00,11867.00,"28,7","2 024,50",103297.00,2003
PAPUA BARAT,5,-,4719.00,"27,73","2 126,20",-,2003
PAPUA,5,3665.00,36021.00,"28,49","2 431,00",40927.00,2003
ACEH,6,2394.00,348232.00,"28,88","1 507,20",23568.00,2003
SUMATERA UTARA,6,14280.00,538180.00,"29,08","3 140,20",135661.00,2003
SUMATERA BARAT,6,3866.00,225369.00,"29,17","4 927,20",44954.00,2003
RIAU,6,1446.00,128225.00,"29,64","2 949,20",11299.00,2003
JAMBI,6,2619.00,120552.00,"28,98","2 533,30",22000.00,2003
SUMATERA SELATAN,6,3112.00,512510.00,"29,64","2 674,00",20672.00,2003
BENGKULU,6,5783.00,88432.00,"29,51","3 030,40",54741.00,2003
LAMPUNG,6,4267.00,303380.00,"29,67","1 682,20",41082.00,2003
KEP. BANGKA BELITUNG,6,508.00,3186.00,"29,19","2 900,00",4205.00,2003
KEP. RIAU,6,-,-,"28,88","3 972,70",-,2003
DKI JAKARTA,6,-,2738.00,"30,92","1 644,30",-,2003
